Method,NumVariables,NumSpilled,SpillPercentage,MaxColorsUsed,NumEdges,TimeToSolve
greedy,8,1,12.50,7,56,5e-05
backtracking,8,1,12.50,7,56,0.97443
greedy,5,0,0.00,4,14,2e-05
backtracking,5,0,0.00,4,14,0.0033
greedy,9,3,33.33,5,58,5e-05
backtracking,9,3,33.33,5,58,0.38873
greedy,6,1,16.67,5,30,5e-05
backtracking,6,1,16.67,5,30,0.00776
greedy,7,3,42.86,4,42,5e-05
backtracking,7,3,42.86,4,42,0.0057
greedy,5,1,20.00,4,20,2e-05
backtracking,5,1,20.00,4,20,0.00094
greedy,8,2,25.00,6,56,6e-05
backtracking,8,2,25.00,6,56,0.26518
greedy,5,0,0.00,5,20,2e-05
backtracking,5,0,0.00,5,20,0.00227
greedy,6,0,0.00,3,12,2e-05
backtracking,6,0,0.00,4,12,0.04999
greedy,5,1,20.00,4,20,3e-05
backtracking,5,1,20.00,4,20,0.00088
greedy,5,0,0.00,3,10,2e-05
backtracking,5,0,0.00,3,10,0.0181
greedy,8,3,37.50,5,56,4e-05
backtracking,8,3,37.50,5,56,0.06317
greedy,4,0,0.00,4,12,2e-05
backtracking,4,0,0.00,4,12,0.00175
greedy,5,0,0.00,3,6,1e-05
backtracking,5,0,0.00,3,6,0.01604
greedy,5,0,0.00,4,16,2e-05
backtracking,5,0,0.00,4,16,0.00665
greedy,4,0,0.00,3,8,1e-05
backtracking,4,0,0.00,3,8,0.00075
greedy,8,0,0.00,7,52,4e-05
backtracking,8,0,0.00,7,52,1.47807
greedy,4,0,0.00,4,12,2e-05
backtracking,4,0,0.00,4,12,0.00176
greedy,5,1,20.00,4,20,4e-05
backtracking,5,1,20.00,4,20,0.00088
greedy,6,2,33.33,4,30,4e-05
backtracking,6,2,33.33,4,30,0.00234
greedy,8,0,0.00,7,44,3e-05
backtracking,8,0,0.00,7,44,2.06054
greedy,5,1,20.00,4,20,3e-05
backtracking,5,1,20.00,4,20,0.00089
greedy,5,1,20.00,4,20,2e-05
backtracking,5,1,20.00,4,20,0.00089
greedy,7,0,0.00,6,34,4e-05
backtracking,7,0,0.00,6,34,0.15079
greedy,9,2,22.22,6,64,5e-05
backtracking,9,2,22.22,6,64,1.51548
greedy,5,1,20.00,4,20,4e-05
backtracking,5,1,20.00,4,20,0.00093
greedy,5,1,20.00,4,20,3e-05
backtracking,5,1,20.00,4,20,0.00091
greedy,6,1,16.67,5,30,3e-05
backtracking,6,1,16.67,5,30,0.00788
greedy,9,1,11.11,7,70,5e-05
backtracking,9,1,11.11,7,70,4.26003
greedy,8,1,12.50,7,56,4e-05
backtracking,8,1,12.50,7,56,0.97417
greedy,7,1,14.29,5,36,4e-05
backtracking,7,1,14.29,5,36,0.0393
greedy,10,4,40.00,6,90,6e-05
backtracking,10,4,40.00,6,90,1.96301
greedy,10,4,40.00,6,90,6e-05
backtracking,10,4,40.00,6,90,1.93041
greedy,8,1,12.50,7,56,6e-05
backtracking,8,1,12.50,7,56,0.98473
greedy,7,2,28.57,5,42,5e-05
backtracking,7,2,28.57,5,42,0.0232
greedy,8,0,0.00,7,54,5e-05
backtracking,8,0,0.00,7,54,1.19383
greedy,6,0,0.00,5,20,2e-05
backtracking,6,0,0.00,5,20,0.01302
greedy,6,0,0.00,6,30,3e-05
backtracking,6,0,0.00,6,30,0.02235
greedy,9,3,33.33,5,64,5e-05
backtracking,9,3,33.33,5,64,0.31169
greedy,5,0,0.00,4,16,2e-05
backtracking,5,0,0.00,4,16,0.00131
greedy,7,0,0.00,5,28,3e-05
backtracking,7,0,0.00,5,28,0.1961
greedy,7,1,14.29,6,42,4e-05
backtracking,7,1,14.29,6,42,0.08077
greedy,4,0,0.00,2,4,1e-05
backtracking,4,0,0.00,2,4,0.00116
greedy,5,0,0.00,4,12,2e-05
backtracking,5,0,0.00,4,12,0.01485
greedy,6,0,0.00,5,22,3e-05
backtracking,6,0,0.00,5,22,0.03893
greedy,4,0,0.00,2,4,1e-05
backtracking,4,0,0.00,2,4,0.00041
greedy,6,0,0.00,4,20,2e-05
backtracking,6,0,0.00,4,20,0.04534
greedy,8,0,0.00,7,42,3e-05
backtracking,8,0,0.00,7,42,2.17493
greedy,5,0,0.00,3,12,2e-05
backtracking,5,0,0.00,3,12,0.00374
greedy,3,0,0.00,3,6,2e-05
backtracking,3,0,0.00,3,6,0.0003
greedy,7,0,0.00,6,40,4e-05
backtracking,7,0,0.00,6,40,0.10494
greedy,6,1,16.67,5,30,5e-05
backtracking,6,1,16.67,5,30,0.00783
greedy,7,1,14.29,6,42,4e-05
backtracking,7,1,14.29,6,42,0.0841
greedy,10,1,10.00,7,74,6e-05
backtracking,10,1,10.00,7,74,33.01211
greedy,5,1,20.00,4,20,2e-05
backtracking,5,1,20.00,4,20,0.00094
greedy,7,0,0.00,6,40,4e-05
backtracking,7,0,0.00,6,40,0.29565
greedy,8,3,37.50,5,56,4e-05
backtracking,8,3,37.50,5,56,0.06045
greedy,6,1,16.67,5,30,3e-05
backtracking,6,1,16.67,5,30,0.00754
greedy,6,2,33.33,4,30,4e-05
backtracking,6,2,33.33,4,30,0.00235
greedy,8,1,12.50,7,56,5e-05
backtracking,8,1,12.50,7,56,1.01699
greedy,4,0,0.00,4,12,2e-05
backtracking,4,0,0.00,4,12,0.00061
greedy,2,0,0.00,2,2,1e-05
backtracking,2,0,0.00,2,2,6e-05
greedy,9,1,11.11,7,70,5e-05
backtracking,9,1,11.11,7,70,4.1701
greedy,5,0,0.00,4,16,2e-05
backtracking,5,0,0.00,4,16,0.00124
greedy,7,0,0.00,5,24,3e-05
backtracking,7,0,0.00,5,24,0.68356
greedy,9,2,22.22,7,72,6e-05
backtracking,9,2,22.22,7,72,3.39416
greedy,8,1,12.50,7,56,5e-05
backtracking,8,1,12.50,7,56,0.99258
greedy,6,1,16.67,4,28,3e-05
backtracking,6,1,16.67,4,28,0.00291
greedy,6,0,0.00,4,20,2e-05
backtracking,6,0,0.00,4,20,0.04612
greedy,9,4,44.44,5,72,8e-05
backtracking,9,4,44.44,5,72,0.14742
greedy,4,0,0.00,3,8,2e-05
backtracking,4,0,0.00,3,8,0.00077
greedy,6,1,16.67,4,26,4e-05
backtracking,6,1,16.67,4,26,0.00371
greedy,7,0,0.00,5,26,3e-05
backtracking,7,0,0.00,5,26,0.60801
greedy,8,1,12.50,6,54,4e-05
backtracking,8,1,12.50,6,54,0.32945
greedy,5,0,0.00,4,12,2e-05
backtracking,5,0,0.00,4,12,0.0031
greedy,4,0,0.00,4,12,2e-05
backtracking,4,0,0.00,4,12,0.0003
greedy,7,0,0.00,6,36,3e-05
backtracking,7,0,0.00,6,36,0.40982
greedy,7,2,28.57,5,42,3e-05
backtracking,7,2,28.57,5,42,0.02372
greedy,5,0,0.00,4,18,2e-05
backtracking,5,0,0.00,4,18,0.00584
greedy,3,0,0.00,2,2,1e-05
backtracking,3,0,0.00,2,2,0.00011
greedy,7,2,28.57,5,42,4e-05
backtracking,7,2,28.57,5,42,0.02284
greedy,7,2,28.57,5,42,4e-05
backtracking,7,2,28.57,5,42,0.02307
greedy,9,4,44.44,5,72,7e-05
backtracking,9,4,44.44,5,72,0.14618
greedy,9,2,22.22,6,68,6e-05
backtracking,9,2,22.22,6,68,1.20251
greedy,6,1,16.67,5,30,3e-05
backtracking,6,1,16.67,5,30,0.0077
greedy,9,3,33.33,5,68,5e-05
backtracking,9,3,33.33,5,68,0.22399
greedy,9,0,0.00,7,58,4e-05
backtracking,9,0,0.00,7,58,10.09181
greedy,8,2,25.00,4,46,3e-05
backtracking,8,2,25.00,4,46,0.0318
greedy,9,1,11.11,6,60,5e-05
backtracking,9,0,0.00,6,60,2.25218
greedy,9,5,55.56,4,72,6e-05
backtracking,9,5,55.56,4,72,0.02474
greedy,9,2,22.22,7,72,8e-05
backtracking,9,2,22.22,7,72,3.39624
greedy,8,2,25.00,5,54,5e-05
backtracking,8,2,25.00,5,54,0.07813
greedy,10,5,50.00,5,90,8e-05
backtracking,10,5,50.00,5,90,0.33574
greedy,10,1,10.00,7,68,5e-05
backtracking,10,1,10.00,7,68,40.91198
greedy,5,0,0.00,3,12,2e-05
backtracking,5,0,0.00,3,12,0.00162
greedy,6,1,16.67,5,30,5e-05
backtracking,6,1,16.67,5,30,0.00781
greedy,6,0,0.00,5,24,2e-05
backtracking,6,0,0.00,5,24,0.03487
greedy,6,0,0.00,4,18,2e-05
backtracking,6,0,0.00,4,18,0.04237
greedy,9,3,33.33,6,72,6e-05
backtracking,9,3,33.33,6,72,0.78383
greedy,5,0,0.00,4,14,2e-05
backtracking,5,0,0.00,4,14,0.00137
greedy,5,1,20.00,4,20,3e-05
backtracking,5,1,20.00,4,20,0.00088
greedy,7,3,42.86,4,42,3e-05
backtracking,7,3,42.86,4,42,0.00553
greedy,6,1,16.67,4,22,3e-05
backtracking,6,1,16.67,4,22,0.00435
greedy,8,3,37.50,5,56,4e-05
backtracking,8,3,37.50,5,56,0.06207
greedy,10,3,30.00,7,90,9e-05
backtracking,10,3,30.00,7,90,10.1457
greedy,3,0,0.00,2,4,1e-05
backtracking,3,0,0.00,2,4,0.00034
greedy,9,1,11.11,7,70,8e-05
backtracking,9,1,11.11,7,70,4.00933
greedy,4,0,0.00,3,6,2e-05
backtracking,4,0,0.00,3,6,0.00039
greedy,5,1,20.00,4,20,3e-05
backtracking,5,1,20.00,4,20,0.001
greedy,6,0,0.00,4,20,3e-05
backtracking,6,0,0.00,5,20,0.0383
greedy,7,2,28.57,5,42,4e-05
backtracking,7,2,28.57,5,42,0.02321
greedy,7,1,14.29,6,42,3e-05
backtracking,7,1,14.29,6,42,0.08711
greedy,9,0,0.00,6,56,4e-05
backtracking,9,0,0.00,7,56,12.02995
greedy,10,4,40.00,6,90,8e-05
backtracking,10,4,40.00,6,90,2.02049
greedy,6,0,0.00,6,30,3e-05
backtracking,6,0,0.00,6,30,0.02178
greedy,6,0,0.00,5,28,3e-05
backtracking,6,0,0.00,5,28,0.00926
greedy,8,0,0.00,7,44,4e-05
backtracking,8,0,0.00,7,44,2.12017
greedy,8,2,25.00,6,56,5e-05
backtracking,8,2,25.00,6,56,0.26614
greedy,8,1,12.50,7,56,6e-05
backtracking,8,1,12.50,7,56,1.02767
greedy,9,3,33.33,6,70,5e-05
backtracking,9,2,22.22,6,70,1.16001
greedy,8,3,37.50,4,50,5e-05
backtracking,8,3,37.50,4,50,0.02236
greedy,7,1,14.29,6,42,3e-05
backtracking,7,1,14.29,6,42,0.08076
greedy,9,2,22.22,6,70,5e-05
backtracking,9,2,22.22,6,70,0.94548
greedy,8,4,50.00,4,56,5e-05
backtracking,8,4,50.00,4,56,0.01246
greedy,6,2,33.33,4,30,5e-05
backtracking,6,2,33.33,4,30,0.00273
greedy,8,3,37.50,5,56,6e-05
backtracking,8,3,37.50,5,56,0.06246
greedy,5,0,0.00,5,20,3e-05
backtracking,5,0,0.00,5,20,0.0113
greedy,7,1,14.29,6,42,4e-05
backtracking,7,1,14.29,6,42,0.08445
